"Year","State","TOTAL.POPULATION","Type","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION","WHITE.AND.FREE.COLORED.FAMILIES","AGGR..FREE.COLORED.PERSONS","COLORED.PERSONS","COLORED.MALES","COLORED.FEMALES","TOTAL.COLORED.FEMALES","TOTAL.COLORED.MALES"
1870,"INDIANA",1680637,"State",NA,NA,NA,NA,NA,NA,NA,NA,24560,NA,NA,NA,NA
1870,"IOWA",1194020,"State",NA,NA,NA,NA,NA,NA,NA,NA,5762,NA,NA,NA,NA
1870,"KANSAS",364399,"State",NA,NA,NA,NA,NA,NA,NA,NA,17108,NA,NA,NA,NA
1870,"KENTUCKY",1321011,"State",NA,NA,NA,NA,NA,NA,NA,NA,222210,NA,NA,NA,NA
1870,"LOUISIANA",726915,"State",NA,NA,NA,NA,NA,NA,NA,NA,364210,NA,NA,NA,NA
1870,"MAINE",626915,"State",NA,NA,NA,NA,NA,NA,NA,NA,1606,NA,NA,NA,NA
1870,"MARYLAND",780894,"State",NA,NA,NA,NA,NA,NA,NA,NA,175391,NA,NA,NA,NA
1870,"MASSACHUSETTS",1457351,"State",NA,NA,NA,NA,NA,NA,NA,NA,13947,NA,NA,NA,NA
1870,"MICHIGAN",1184059,"State",NA,NA,NA,NA,NA,NA,NA,NA,11849,NA,NA,NA,NA
1870,"MINNESOTA",439706,"State",NA,NA,NA,NA,NA,NA,NA,NA,759,NA,NA,NA,NA
1870,"MISSISSIPPI",827922,"State",NA,NA,NA,NA,NA,NA,NA,NA,444201,NA,NA,NA,NA
1870,"MISSOURI",1721295,"State",NA,NA,NA,NA,NA,NA,NA,NA,118071,NA,NA,NA,NA
1870,"NEBRASKA",122993,"State",NA,NA,NA,NA,NA,NA,NA,NA,789,NA,NA,NA,NA
1870,"NEVADA",42491,"State",NA,NA,NA,NA,NA,NA,NA,NA,357,NA,NA,NA,NA
1870,"NEW HAMPSHIRE",318300,"State",NA,NA,NA,NA,NA,NA,NA,NA,580,NA,NA,NA,NA
1870,"NEW JERSEY",906096,"State",NA,NA,NA,NA,NA,NA,NA,NA,30658,NA,NA,NA,NA
1870,"NEW YORK",4382759,"State",NA,NA,NA,NA,NA,NA,NA,NA,52081,NA,NA,NA,NA
1870,"NORTH CAROLINA",1071361,"State",NA,NA,NA,NA,NA,NA,NA,NA,391650,NA,NA,NA,NA
1870,"OHIO",2665260,"State",NA,NA,NA,NA,NA,NA,NA,NA,63213,NA,NA,NA,NA
1870,"OREGON",90923,"State",NA,NA,NA,NA,NA,NA,NA,NA,346,NA,NA,NA,NA
1870,"PENNSYLVANIA",3521951,"State",NA,NA,NA,NA,NA,NA,NA,NA,65294,NA,NA,NA,NA
1870,"RHODE ISLAND",217353,"State",NA,NA,NA,NA,NA,NA,NA,NA,4980,NA,NA,NA,NA
1870,"SOUTH CAROLINA",705606,"State",NA,NA,NA,NA,NA,NA,NA,NA,415814,NA,NA,NA,NA
1870,"TENNESSEE",1258520,"State",NA,NA,NA,NA,NA,NA,NA,NA,322331,NA,NA,NA,NA
1870,"TEXAS",818579,"State",NA,NA,NA,NA,NA,NA,NA,NA,253475,NA,NA,NA,NA
1870,"VERMONT",330551,"State",NA,NA,NA,NA,NA,NA,NA,NA,924,NA,NA,NA,NA
1870,"VIRGINIA",1225163,"State",NA,NA,NA,NA,NA,NA,NA,NA,512841,NA,NA,NA,NA
1870,"WEST VIRGINIA",442014,"State",NA,NA,NA,NA,NA,NA,NA,NA,17980,NA,NA,NA,NA
1870,"WISCONSIN",1054670,"State",NA,NA,NA,NA,NA,NA,NA,NA,2113,NA,NA,NA,NA
1880,"ALABAMA",1262505,"State",NA,NA,NA,NA,NA,NA,NA,NA,600103,NA,NA,NA,NA
1880,"ARKANSAS",802525,"State",NA,NA,NA,NA,NA,NA,NA,NA,210666,NA,NA,NA,NA
1880,"CALIFORNIA",864694,"State",NA,NA,NA,NA,NA,NA,NA,NA,6018,NA,NA,NA,NA
1880,"COLORADO",194327,"State",NA,NA,NA,NA,NA,NA,NA,NA,2435,NA,NA,NA,NA
1880,"CONNECTICUT",622700,"State",NA,NA,NA,NA,NA,NA,NA,NA,11547,NA,NA,NA,NA
1880,"DELAWARE",146608,"State",NA,NA,NA,NA,NA,NA,NA,NA,26442,NA,NA,NA,NA
1880,"FLORIDA",269493,"State",NA,NA,NA,NA,NA,NA,NA,NA,126690,NA,NA,NA,NA
1880,"GEORGIA",1542180,"State",NA,NA,NA,NA,NA,NA,NA,NA,725133,NA,NA,NA,NA
1880,"ILLINOIS",3077871,"State",NA,NA,NA,NA,NA,NA,NA,NA,46368,NA,NA,NA,NA
1880,"INDIANA",1978301,"State",NA,NA,NA,NA,NA,NA,NA,NA,39228,NA,NA,NA,NA
1880,"IOWA",1624615,"State",NA,NA,NA,NA,NA,NA,NA,NA,9516,NA,NA,NA,NA
1880,"KANSAS",996096,"State",NA,NA,NA,NA,NA,NA,NA,NA,43107,NA,NA,NA,NA
1880,"KENTUCKY",1648690,"State",NA,NA,NA,NA,NA,NA,NA,NA,271451,NA,NA,NA,NA
1880,"LOUISIANA",939946,"State",NA,NA,NA,NA,NA,NA,NA,NA,483655,NA,NA,NA,NA
1880,"MAINE",648936,"State",NA,NA,NA,NA,NA,NA,NA,NA,1451,NA,NA,NA,NA
1880,"MARYLAND",934943,"State",NA,NA,NA,NA,NA,NA,NA,NA,210230,NA,NA,NA,NA
1880,"MASSACHUSETTS",1783085,"State",NA,NA,NA,NA,NA,NA,NA,NA,18697,NA,NA,NA,NA
1880,"MICHIGAN",1636937,"State",NA,NA,NA,NA,NA,NA,NA,NA,15100,NA,NA,NA,NA
1880,"MINNESOTA",780773,"State",NA,NA,NA,NA,NA,NA,NA,NA,1564,NA,NA,NA,NA
1880,"MISSISSIPPI",1131597,"State",NA,NA,NA,NA,NA,NA,NA,NA,650291,NA,NA,NA,NA
1880,"MISSOURI",2168380,"State",NA,NA,NA,NA,NA,NA,NA,NA,145350,NA,NA,NA,NA
1880,"NEBRASKA",452402,"State",NA,NA,NA,NA,NA,NA,NA,NA,2385,NA,NA,NA,NA
1880,"NEVADA",62266,"State",NA,NA,NA,NA,NA,NA,NA,NA,488,NA,NA,NA,NA
1880,"NEW HAMPSHIRE",346991,"State",NA,NA,NA,NA,NA,NA,NA,NA,685,NA,NA,NA,NA
1880,"NEW JERSEY",1131116,"State",NA,NA,NA,NA,NA,NA,NA,NA,38853,NA,NA,NA,NA
1880,"NEW YORK",5082871,"State",NA,NA,NA,NA,NA,NA,NA,NA,65104,NA,NA,NA,NA
1880,"NORTH CAROLINA",1399750,"State",NA,NA,NA,NA,NA,NA,NA,NA,531277,NA,NA,NA,NA
1880,"OHIO",3198062,"State",NA,NA,NA,NA,NA,NA,NA,NA,79900,NA,NA,NA,NA
1880,"OREGON",174768,"State",NA,NA,NA,NA,NA,NA,NA,NA,487,NA,NA,NA,NA
1880,"PENNSYLVANIA",4282891,"State",NA,NA,NA,NA,NA,NA,NA,NA,85535,NA,NA,NA,NA
1880,"RHODE ISLAND",276531,"State",NA,NA,NA,NA,NA,NA,NA,NA,6488,NA,NA,NA,NA
1880,"SOUTH CAROLINA",995577,"State",NA,NA,NA,NA,NA,NA,NA,NA,604332,NA,NA,NA,NA
1880,"TENNESSEE",1542359,"State",NA,NA,NA,NA,NA,NA,NA,NA,403151,NA,NA,NA,NA
1880,"TEXAS",1591749,"State",NA,NA,NA,NA,NA,NA,NA,NA,393384,NA,NA,NA,NA
1880,"VERMONT",332286,"State",NA,NA,NA,NA,NA,NA,NA,NA,1057,NA,NA,NA,NA
1880,"VIRGINIA",1512565,"State",NA,NA,NA,NA,NA,NA,NA,NA,631616,NA,NA,NA,NA
1880,"WEST VIRGINIA",618457,"State",NA,NA,NA,NA,NA,NA,NA,NA,25886,NA,NA,NA,NA
1880,"WISCONSIN",1315497,"State",NA,NA,NA,NA,NA,NA,NA,NA,2702,NA,NA,NA,NA
1890,"ALABAMA",1513017,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,213,759,NA,NA
1890,"ARKANSAS",1128179,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,195,218,NA,NA
1890,"CALIFORNIA",1208130,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,16277,11517,NA,NA
1890,"COLORADO",412198,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,154,107,NA,NA
1890,"CONNECTICUT",746258,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,255,228,NA,NA
1890,"DELAWARE",168493,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA
1890,"FLORIDA",391422,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,180,171,NA,NA
1890,"GEORGIA",1837353,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,124,68,NA,NA
1890,"IDAHO",84385,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,165,159,NA,NA
1890,"ILLINOIS",3826351,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,97,NA,NA
1890,"INDIANA",2192404,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,246,343,NA,NA
1890,"IOWA",1911896,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,466,60,NA,NA
1890,"KANSAS",1427096,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,815,736,NA,NA
1890,"KENTUCKY",1858635,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,71,NA,NA
1890,"LOUISIANA",1118587,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,848,627,NA,NA
1890,"MAINE",661086,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,625,559,NA,NA
1890,"MARYLAND",1042390,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,44,NA,NA
1890,"MASSACHUSETTS",2238943,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,369,424,NA,NA
1890,"MICHIGAN",2093889,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,7249,5624,NA,NA
1890,"MINNESOTA",1301826,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,1888,NA,NA
1890,"MISSISSIPPI",1289600,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,1857,2036,NA,NA
1890,"MISSOURI",2679184,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,113,127,NA,NA
1890,"MONTANA",132159,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,1663,860,NA,NA
1890,"NEBRASKA",1058910,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,235,2893,NA,NA
1890,"NEVADA",45761,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,2803,3599,NA,NA
1890,"NEW HAMPSHIRE",376530,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,63,16,NA,NA
1890,"NEW JERSEY",1444933,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,74,84,NA,NA
1890,"NEW YORK",5997853,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,819,726,NA,NA
1890,"NORTH CAROLINA",1617947,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,1230,1514,NA,NA
1890,"NORTH DAKOTA",182719,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,596,194,NA,NA
1890,"OHIO",3672316,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,130,193,NA,NA
1890,"OREGON",313767,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,1694,1258,NA,NA
1890,"PENNSYLVANIA",5258014,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,184,983,NA,NA
1890,"RHODE ISLAND",345506,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,77,180,NA,NA
1890,"SOUTH CAROLINA",1151149,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,131,173,NA,NA
1890,"SOUTH DAKOTA",328808,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,795,782,NA,NA
1890,"TENNESSEE",1767518,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,352,146,NA,NA
1890,"TEXAS",2235523,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,992,704,NA,NA
1890,"UTAH",207905,"Territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,807,608,NA,NA
1890,"VERMONT",332422,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,34,NA,NA
1890,"VIRGINIA",1655980,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,85,349,NA,NA
1890,"WASHINGTON",349390,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,4405,3655,NA,NA
1890,"WEST VIRGINIA",762794,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,29,9,NA,NA
1890,"WISCONSIN",1686880,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,3161,3835,NA,NA
1890,"WYOMING",60705,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,43,NA,NA
1900,"ALABAMA",1828697,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418159,409386
1900,"ARKANSAS",1311564,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181542,185442
1900,"CALIFORNIA",1485053,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16942,65384
1900,"COLORADO",539700,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4812,5842
1900,"CONNECTICUT",908420,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8055,7941
1900,"DELAWARE",184735,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15086,15672
1900,"FLORIDA",528542,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110691,120518
1900,"GEORGIA",2216331,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524964,510073
1900,"IDAHO",161772,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2373,4904
1900,"ILLINOIS",4821550,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40008,46669
1900,"INDIANA",2516462,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27934,30026
1900,"IOWA",2231853,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6004,7182
1900,"KANSAS",1470495,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26382,27794
1900,"KENTUCKY",2147174,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142686,142179
1900,"LOUISIANA",1381625,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328422,323591
1900,"MAINE",694466,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031,1209
1900,"MARYLAND",1188044,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119464,116156
1900,"MASSACHUSETTS",2805346,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16686,18896
1900,"MICHIGAN",2420982,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10612,11807
1900,"MINNESOTA",1751394,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6719,7639
1900,"MISSISSIPPI",1551270,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455329,454741
1900,"MISSOURI",3106665,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80089,81733
1900,"MONTANA",243329,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6343,10703
1900,"NEBRASKA",1066300,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4521,5253
1900,"NEVADA",42335,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2645,4285
1900,"NEW HAMPSHIRE",411588,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,448
1900,"NEW JERSEY",1883669,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36135,35217
1900,"NEW YORK",7268894,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55349,56664
1900,"NORTH CAROLINA",1893810,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323685,306522
1900,"NORTH DAKOTA",319146,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3617,3817
1900,"OHIO",4157545,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46938,50403
1900,"OREGON",413536,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452,15502
1900,"PENNSYLVANIA",6302115,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78214,82237
1900,"RHODE ISLAND",428556,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4822,4684
1900,"SOUTH CAROLINA",1340316,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398761,383748
1900,"SOUTH DAKOTA",401570,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10630,10226
1900,"TENNESSEE",2020616,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241908,238522
1900,"TEXAS",3048710,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310811,311230
1900,"UTAH",276749,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520,2764
1900,"VERMONT",343641,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,497
1900,"VIRGINIA",1854184,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337428,323901
1900,"WASHINGTON",518103,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6268,15531
1900,"WEST VIRGINIA",958800,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18338,25229
1900,"WISCONSIN",2069042,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5175,5956
1900,"WYOMING",92531,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139,2341
1910,"ALABAMA",2138093,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"ARIZONA",204354,"Territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"ARKANSAS",1574449,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"CALIFORNIA",2377549,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"COLORADO",799024,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"CONNECTICUT",1114756,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"DELAWARE",202322,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"FLORIDA",752619,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"GEORGIA",2609121,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"IDAHO",325594,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"ILLINOIS",5638591,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"INDIANA",2700876,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"IOWA",2224771,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"KANSAS",1690949,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"KENTUCKY",2289905,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"LOUISIANA",1656388,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MAINE",742371,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MARYLAND",1295346,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MASSACHUSETTS",3366416,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MICHIGAN",2810173,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MINNESOTA",2075708,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MISSISSIPPI",1797114,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MISSOURI",3293335,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"MONTANA",376053,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NEBRASKA",1192214,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NEVADA",81875,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NEW HAMPSHIRE",430572,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NEW JERSEY",2537167,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NEW MEXICO",327299,"Territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NEW YORK",9113614,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NORTH CAROLINA",2206287,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"NORTH DAKOTA",577056,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"OHIO",4767121,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"OKLAHOMA",1657155,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"OREGON",672765,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"PENNSYLVANIA",7665111,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"RHODE ISLAND",542610,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"SOUTH CAROLINA",1515400,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"SOUTH DAKOTA",583888,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"TENNESSEE",2184789,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"TEXAS",3896542,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"UTAH",373351,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"VERMONT",355956,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"VIRGINIA",2061612,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"WASHINGTON",1141990,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"WEST VIRGINIA",1221119,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"WISCONSIN",2333860,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,"WYOMING",145965,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"ALABAMA",2348174,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"ARIZONA",334162,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"ARKANSAS",1752204,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"CALIFORNIA",3426861,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"COLORADO",939629,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"CONNECTICUT",1380631,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"DELAWARE",223003,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"FLORIDA",968470,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"GEORGIA",2895832,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"IDAHO",431866,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"ILLINOIS",6485280,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"INDIANA",2930390,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"IOWA",2404021,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"KANSAS",1769257,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"KENTUCKY",2416630,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
