"Year","State","TOTAL.POPULATION","Type","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION","WHITE.AND.FREE.COLORED.FAMILIES","AGGR..FREE.COLORED.PERSONS","COLORED.PERSONS","COLORED.MALES","COLORED.FEMALES","TOTAL.COLORED.FEMALES","TOTAL.COLORED.MALES"
1920,"LOUISIANA",1798509,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MAINE",768014,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MARYLAND",1449661,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MASSACHUSETTS",3852356,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MICHIGAN",3668412,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MINNESOTA",2387125,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MISSISSIPPI",1790618,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MISSOURI",3404055,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"MONTANA",548889,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NEBRASKA",1296372,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NEVADA",77407,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NEW HAMPSHIRE",443083,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NEW JERSEY",3155900,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NEW MEXICO",360350,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NEW YORK",10385227,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NORTH CAROLINA",2559123,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"NORTH DAKOTA",646872,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"OHIO",5759394,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"OKLAHOMA",2028283,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"OREGON",783389,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"PENNSYLVANIA",8720017,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"RHODE ISLAND",604397,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"SOUTH CAROLINA",1683724,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"SOUTH DAKOTA",636547,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"TENNESSEE",2337885,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"TEXAS",4663228,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"UTAH",449396,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"VERMONT",352428,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"VIRGINIA",2309187,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"WASHINGTON",1356621,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"WEST VIRGINIA",1463701,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"WISCONSIN",2632067,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"WYOMING",194402,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"ALABAMA",2646248,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"ARIZONA",435573,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"ARKANSAS",1854482,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"CALIFORNIA",5677251,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"COLORADO",1035791,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"CONNECTICUT",1606903,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"DELAWARE",238380,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"FLORIDA",1468211,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"GEORGIA",2908506,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"IDAHO",445032,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"ILLINOIS",7630654,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"INDIANA",3238503,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"IOWA",2470939,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"KANSAS",1880999,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"KENTUCKY",2614589,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"LOUISIANA",2101593,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MAINE",797423,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MARYLAND",1631526,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MASSACHUSETTS",4249614,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MICHIGAN",4842325,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MINNESOTA",2563953,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MISSISSIPPI",2009821,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MISSOURI",3629367,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"MONTANA",537606,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NEBRASKA",1377963,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NEVADA",91058,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NEW HAMPSHIRE",465293,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NEW JERSEY",4041334,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NEW MEXICO",423317,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NEW YORK",12588066,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NORTH CAROLINA",3170276,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"NORTH DAKOTA",680845,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"OHIO",6646697,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"OKLAHOMA",2396040,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"OREGON",953786,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"PENNSYLVANIA",9631350,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"RHODE ISLAND",687497,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"SOUTH CAROLINA",1738765,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"SOUTH DAKOTA",692849,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"TENNESSEE",2616556,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"TEXAS",5824715,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"UTAH",507847,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"VERMONT",359611,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"VIRGINIA",2421851,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"WASHINGTON",1563396,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"WEST VIRGINIA",1729205,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"WISCONSIN",2939006,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"WYOMING",225565,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"ALABAMA",2832961,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"ARIZONA",499261,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"ARKANSAS",1949387,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"CALIFORNIA",6907387,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"COLORADO",1123296,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"CONNECTICUT",1709242,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"DELAWARE",266505,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"FLORIDA",1897414,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"GEORGIA",3123723,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"IDAHO",524873,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"ILLINOIS",7897241,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"INDIANA",3427796,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"IOWA",2538268,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"KANSAS",1801028,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"KENTUCKY",2845627,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"LOUISIANA",2363880,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MAINE",847226,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MARYLAND",1821244,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MASSACHUSETTS",4316721,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MICHIGAN",5256106,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MINNESOTA",2792300,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MISSISSIPPI",2183796,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MISSOURI",3784664,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"MONTANA",559456,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NEBRASKA",1315834,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NEVADA",110247,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NEW HAMPSHIRE",491524,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NEW JERSEY",4160165,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NEW MEXICO",531818,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NEW YORK",13469142,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NORTH CAROLINA",3571623,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"NORTH DAKOTA",641935,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"OHIO",6907612,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"OKLAHOMA",2336434,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"OREGON",1089684,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"PENNSYLVANIA",9900180,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"RHODE ISLAND",713346,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"SOUTH CAROLINA",1899804,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"SOUTH DAKOTA",642961,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"TENNESSEE",2915841,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"TEXAS",6414824,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"UTAH",550310,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"VERMONT",359231,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"VIRGINIA",2644250,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"WASHINGTON",1736191,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"WEST VIRGINIA",1901974,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"WISCONSIN",3137587,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"WYOMING",250742,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"ALABAMA",3061743,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"ARIZONA",749587,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"ARKANSAS",1909511,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"CALIFORNIA",10586223,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"COLORADO",1325089,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"CONNECTICUT",2007280,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"DELAWARE",318085,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"FLORIDA",2771305,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"GEORGIA",3444578,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"IDAHO",588637,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"ILLINOIS",8712176,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"INDIANA",3934224,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"IOWA",2621073,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"KANSAS",1905299,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"KENTUCKY",2944806,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"LOUISIANA",2683516,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MAINE",913774,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MARYLAND",2343001,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MASSACHUSETTS",4690514,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MICHIGAN",6371766,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MINNESOTA",2982483,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MISSISSIPPI",2178914,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MISSOURI",3954653,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"MONTANA",591024,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NEBRASKA",1325510,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NEVADA",160083,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NEW HAMPSHIRE",533242,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NEW JERSEY",4835329,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NEW MEXICO",681187,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NEW YORK",14830192,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NORTH CAROLINA",4061929,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"NORTH DAKOTA",619636,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"OHIO",7946627,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"OKLAHOMA",2233351,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"OREGON",1521341,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"PENNSYLVANIA",10498012,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"RHODE ISLAND",791896,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"SOUTH CAROLINA",2117027,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"SOUTH DAKOTA",652740,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"TENNESSEE",3291718,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"TEXAS",7711194,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"UTAH",688862,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"VERMONT",377747,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"VIRGINIA",3318680,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"WASHINGTON",2378963,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"WEST VIRGINIA",2005552,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"WISCONSIN",3434575,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"WYOMING",290529,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"ALABAMA",3266740,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"ALASKA",223866,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"ARIZONA",1302161,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"ARKANSAS",1786272,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"CALIFORNIA",15717204,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"COLORADO",1753947,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"CONNECTICUT",2535234,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"DELAWARE",446292,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"FLORIDA",4951560,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"GEORGIA",3943116,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"HAWAII",632772,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"IDAHO",667191,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"ILLINOIS",10081158,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"INDIANA",4662498,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"IOWA",2755537,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"KANSAS",2178611,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"KENTUCKY",3038156,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"LOUISIANA",3257022,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MAINE",969265,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MARYLAND",3100689,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MASSACHUSETTS",5148578,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MICHIGAN",7823194,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MINNESOTA",3413864,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MISSISSIPPI",2178141,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MISSOURI",4319813,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"MONTANA",674767,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NEBRASKA",1411330,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NEVADA",285278,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NEW HAMPSHIRE",606921,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NEW JERSEY",6066782,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NEW MEXICO",951023,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NEW YORK",16782304,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NORTH CAROLINA",4556155,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"NORTH DAKOTA",632444,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"OHIO",9706397,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"OKLAHOMA",2328284,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"OREGON",1768687,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"PENNSYLVANIA",11319366,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"RHODE ISLAND",859488,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"SOUTH CAROLINA",2382594,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"SOUTH DAKOTA",680514,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"TENNESSEE",3567089,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"TEXAS",9579677,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"UTAH",890627,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"VERMONT",389881,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"VIRGINIA",3966949,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"WASHINGTON",2853214,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"WEST VIRGINIA",1860421,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"WISCONSIN",3951777,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"WYOMING",330066,"State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
